"filename", "language", "C++", "C", "Assembler file", "Python", "Makefile", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.c", "C", 0, 149, 0, 0, 0, 0, 17, 166
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.h", "C", 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\types.h", "C", 0, 47, 0, 0, 0, 0, 17, 64
"c:\Users\45228\Desktop\share\ddos\code\user\Makefile", "Makefile", 0, 0, 0, 0, 6, 0, 3, 9
"c:\Users\45228\Desktop\share\ddos\code\user\libs\assert.h", "C", 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\45228\Desktop\share\ddos\code\user\libs\atomic.h", "C", 0, 79, 0, 0, 0, 114, 25, 218
"c:\Users\45228\Desktop\share\ddos\code\user\libs\clone.S", "Assembler file", 0, 0, 30, 0, 0, 0, 10, 40
"c:\Users\45228\Desktop\share\ddos\code\user\libs\dir.c", "C", 0, 34, 0, 0, 0, 0, 3, 37
"c:\Users\45228\Desktop\share\ddos\code\user\libs\dir.h", "C", 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\45228\Desktop\share\ddos\code\user\libs\file.h", "C", 0, 22, 0, 0, 0, 0, 3, 25
"c:\Users\45228\Desktop\share\ddos\code\user\libs\initcode.S", "Assembler file", 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\45228\Desktop\share\ddos\code\user\libs\lock.h", "C++", 31, 0, 0, 0, 0, 0, 9, 40
"c:\Users\45228\Desktop\share\ddos\code\user\libs\main.c", "C", 0, 33, 0, 0, 0, 0, 3, 36
"c:\Users\45228\Desktop\share\ddos\code\user\libs\malloc.c", "C", 0, 127, 0, 0, 0, 0, 18, 145
"c:\Users\45228\Desktop\share\ddos\code\user\libs\malloc.h", "C++", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\45228\Desktop\share\ddos\code\user\libs\panic.c", "C", 0, 55, 0, 0, 0, 0, 13, 68
"c:\Users\45228\Desktop\share\ddos\code\user\libs\panic.h", "C++", 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.c", "C", 0, 177, 0, 0, 0, 10, 19, 206
"c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.h", "C++", 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\45228\Desktop\share\ddos\code\user\libs\rand.c", "C", 0, 7, 0, 0, 0, 5, 5, 17
"c:\Users\45228\Desktop\share\ddos\code\user\libs\rand.h", "C++", 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\45228\Desktop\share\ddos\code\user\libs\spipe.c", "C", 0, 98, 0, 0, 0, 0, 9, 107
"c:\Users\45228\Desktop\share\ddos\code\user\libs\spipe.h", "C++", 25, 0, 0, 0, 0, 0, 5, 30
"c:\Users\45228\Desktop\share\ddos\code\user\libs\stdarg.h", "C++", 7, 0, 0, 0, 0, 1, 4, 12
"c:\Users\45228\Desktop\share\ddos\code\user\libs\string.c", "C", 0, 129, 0, 0, 0, 0, 15, 144
