Date : 2024-11-08 17:39:29
Directory : c:\Users\45228\Desktop\share\ddos\code\kernel\fs\sfs
Total : 171 files,  -32448 codes, -1137 comments, -2865 blanks, all -36450 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\clone.S                    | Assembler file |        -30 |          0 |        -10 |        -40 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\file.h                     | C              |        -22 |          0 |         -3 |        -25 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\initcode.S                 | Assembler file |         -6 |          0 |         -1 |         -7 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\lock.h                     | C++            |        -31 |          0 |         -9 |        -40 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\main.c                     | C              |        -33 |          0 |         -3 |        -36 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\malloc.c                   | C              |       -127 |          0 |        -18 |       -145 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\malloc.h                   | C++            |         -8 |          0 |         -3 |        -11 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\panic.c                    | C              |        -55 |          0 |        -13 |        -68 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\panic.h                    | C++            |         -9 |          0 |         -3 |        -12 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.c                   | C              |       -177 |        -10 |        -19 |       -206 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.h                   | C++            |        -15 |          0 |         -2 |        -17 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\rand.c                     | C              |         -7 |         -5 |         -5 |        -17 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\rand.h                     | C++            |         -7 |          0 |         -3 |        -10 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\spipe.c                    | C              |        -98 |          0 |         -9 |       -107 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\spipe.h                    | C++            |        -25 |          0 |         -5 |        -30 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\stdarg.h                   | C++            |         -7 |         -1 |         -4 |        -12 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\string.c                   | C              |       -129 |          0 |        -15 |       -144 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\string.h                   | C              |        -19 |          0 |         -2 |        -21 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\thread.c                   | C              |        -37 |          0 |         -3 |        -40 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\thread.h                   | C++            |        -15 |          0 |         -6 |        -21 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\types.h                    | C              |        -29 |          0 |        -11 |        -40 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\user.c                     | C              |       -230 |         -1 |        -60 |       -291 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\user.h                     | C              |        -61 |          0 |         -1 |        -62 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\usys.S                     | Assembler file |       -268 |          0 |         -1 |       -269 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\usys.py                    | Python         |        -23 |         -2 |         -6 |        -31 |
| c:\Users\45228\Desktop\share\ddos\code\user\output\user.asm                 | Assembler file |    -16,411 |          0 |       -585 |    -16,996 |
| c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.c                | C              |     -1,509 |        -75 |       -161 |     -1,745 |
| c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.h                | C++            |         -4 |          0 |         -1 |         -5 |
| Total                                                                       |                |    -32,448 |     -1,137 |     -2,865 |    -36,450 |
+-----------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
